normalized_formula,formation_energy_per_atom,mpid,e_above_hull,energy_per_atom
Li0.16666667 Fe0.33333333 O0.5,-1.9300080517361107,mp-1298536,0.02734540291666665,-6.283093608333334
Li0.5 Fe0.1 O0.4,-2.037011135833333,mp-780207,0.25526168487500467,-5.0878530269999995
Li0.5 Fe0.1 O0.4,-1.8703061913333336,mp-780192,0.24645120237500429,-5.0966635095
Li0.04761905 Fe0.38095238 O0.57142857,-1.8485786643650797,mp-758077,0.9373187710714221,-5.68742815047619
Li0.25 Fe0.25 O0.5,-1.952281552291666,mp-1222302,0.11973400937500145,-5.98641926
Li0.5 Fe0.1 O0.4,-1.8671514623333336,mp-770834,0.24960593137500364,-5.0935087805000006
Li0.27272727 Fe0.18181818 O0.54545455,-1.7569860115909095,mp-1286090,0.07032088038960804,-5.636381961818182
Li0.2 Fe0.2 O0.6,-1.5459324560833332,mp-760833,0.11515379770000056,-5.622375716
Li0.33333333 Fe0.16666667 O0.5,-1.9644358278472218,mp-1308212,0.0007919124999995475,-5.679625686666667
Li0.07142857 Fe0.35714286 O0.57142857,-1.309851851547618,mp-706252,0.6445514108928609,-5.920975551785714
Li0.42105263 Fe0.10526316 O0.47368421,-1.7438990137938593,mp-772983,0.17845633825657892,-5.162581441447369
Li0.34782609 Fe0.2173913 O0.43478261,-1.9134110406884068,mp-1638858,0.09835881478260688,-5.670346810869566
Li0.26666667 Fe0.23333333 O0.5,-1.9785015104027772,mp-1176945,0.5571212826666683,-5.463884852666666
Li0.14285714 Fe0.28571429 O0.57142857,-1.7735851202380946,mp-771135,0.05654839400000178,-6.147640380714286
Li0.21428571 Fe0.21428571 O0.57142857,-1.6344351057142847,mp-756816,0.14405952175000447,-5.698791065
Li0.33333333 Fe0.16666667 O0.5,-1.9652277403472216,mp-774155,0.0,-5.680417599166667
Li0.1875 Fe0.3125 O0.5,-1.9261421735937505,mp-586092,0.48405217874999984,-5.77531539703125
